song_name,emotion
30 seconds to Mars - Night of the Hunter.mp3,relax
Absolutely - Story of A Girl.mp3,sad
Ace - Futureland.mp3,happy
Alan Walker - Faded.mp3,sad
Alan Walker - Force [Instrumental].mp3,relax
All American Rejects - Stab my back.mp3,angry
Apparat - You Dont Know Me.mp3,relax
B.O.B - Soo Good.mp3,happy
Billy Talent - Fallen Leaves.mp3,happy
Billy Talent - Red Flag.mp3,happy
Billy Talent - Viking Death March.mp3,angry
Black Eyed Peas - Lets Get It Started.mp3,happy
Blue Stahli - Ultranumb.mp3,angry
Blue Stahli vs Celldweller - Frozen.mp3,relax
Bonnie Tyler - Total Eclipse of the Heart.mp3,sad
Breaking Benjamin - Breath.mp3,happy
Breaking Benjamin - I Will Not Bow.mp3,angry
Breaking Benjamin - Into the Nothing.mp3,angry
Breaking Benjamin - The Diary of Jane.mp3,sad
Buckcherry vs The Prodigy - Crazy Bitch vs Girls.mp3,happy
Celldweller - Louder than Words.mp3,relax
Dangerkids - Cut Me Out.mp3,happy
Data - One in A Million.mp3,happy
Demi Lovato - Heart Attack.mp3,sad
Escape The Fate - You're So Beautiful.mp3,happy
Evanescence - Bring me to Life.mp3,sad
Evans Blue- Cold But Im still here.mp3,sad
Florida - Right Round.mp3,happy
Globus - Take me away.mp3,sad
Globus - Thousand Deaths.mp3,sad
Imagine Dragons - Radioactive.mp3,happy
Imagine Dragons - Warrior.mp3,angry
K'naan - Waving Flag.mp3,happy
Katy Perry - Firework.mp3,happy
Katy Perry - I Kissed a Girl.mp3,happy
Kesha - Dancing With Tears In My Eyes.mp3,happy
Laura Jansen - Use Somebody.mp3,sad
League of Legends - Burning Brighter.mp3,sad
League of Legends - Get Jinxed.mp3,happy
Linkin Park - In the End.mp3,angry
Linkin Park - Roads Untraveled.mp3,sad
Machinae Supremacy - Death from above.mp3,relax
Machinae Supremacy - Edge and Pearl.mp3,angry
Magic System - Magic in the Air.mp3,happy
Miley Cyrus - Lets get Crazy.mp3,happy
My Darkest Days - Can't Forget You.mp3,sad
My Darkest Days - Without You.mp3,sad
One Direction - Best Song Ever.mp3,happy
One Direction - Live While you are Young.mp3,happy
One Direction - What Makes You Beautiful.mp3,happy
One Republic - All The Right Moves.mp3,happy
Or4nges - CrowMachi.mp3,relax
Paul Oakenfold - Jump.mp3,happy
Pokemon - Master Quest.mp3,happy
Rise Against - Hero Of War.mp3,sad
Shakaponk - I'm Picky.mp3,angry
Simple Plan - How Could This Happen To Me.mp3,sad
Spooky Scary Skeleton (Remix).mp3,relax
Stemm - Face The Pain.mp3,angry
System of a Down - Lonely Day.mp3,sad
Taylor Swift - Love Story.mp3,sad
Tekken 5 - Poolside.mp3,relax
The Fat Rat - Unity.mp3,relax
Three Days Grace - Animal I have Become.mp3,angry
Three Days Grace - Gone Forever.mp3,sad
Three Days Grace - I Hate Everything About You.mp3,angry
Three Days Grace - Let it Die.mp3,angry
Three Days Grace - Over and Over.mp3,sad
Three Days Grace - Riot.mp3,angry
Three Grace - Home.mp3,sad
VAST - Touched ( Cover ).mp3,sad
Voicians - Loner.mp3,sad
Waysons - Eternal Minds.mp3,relax
You Are Not.mp3,angry
You Blocked Me On Facebook Now You're Going To Die.mp3,angry
